date,product,category,quantity,price,revenue,region
2024-01-15,Laptop,Electronics,5,1200,6000,North
2024-01-16,Mouse,Electronics,15,25,375,South
2024-01-17,Keyboard,Electronics,10,75,750,East
2024-01-18,Monitor,Electronics,8,350,2800,West
2024-01-19,Desk,Furniture,3,450,1350,North
2024-01-20,Chair,Furniture,12,200,2400,South
2024-01-21,Lamp,Furniture,20,45,900,East
2024-01-22,Notebook,Stationery,50,5,250,West
2024-01-23,Pen,Stationery,100,2,200,North
2024-01-24,Laptop,Electronics,7,1200,8400,South
2024-01-25,Mouse,Electronics,18,25,450,East
2024-01-26,Keyboard,Electronics,12,75,900,West
2024-01-27,Monitor,Electronics,6,350,2100,North
2024-01-28,Desk,Furniture,5,450,2250,South
2024-01-29,Chair,Furniture,15,200,3000,East
2024-01-30,Lamp,Furniture,25,45,1125,West
2024-02-01,Notebook,Stationery,60,5,300,North
2024-02-02,Pen,Stationery,120,2,240,South
2024-02-03,Laptop,Electronics,4,1200,4800,East
2024-02-04,Mouse,Electronics,20,25,500,West
